speaker_id,word,vowel_id,syllable_type,duration,F1,F2,F3,sex
Yaw-007_mono,?di,ae,closed,0.0955,597,1689,2565,male
Attah-021_mono,ebi,e,closed,0.09458,331,2155,2829,male
Attah-021_mono,?du,u,open,0.13786,280,1307,2184,male
Mary-018_mono,t?,4,open,0.23383,542,1070,3023,female
Sly-022,ad??,a,closed,0.15184,894,1663,2321,male
Cynthia-013_mono,ko,o,open,0.29231,491,1008,2326,female
Cynthia-013_mono,k?,1,open,0.13588,634,938,2224,female
Eunice-008_mono,ab?,a,closed,0.09173,868,1696,2507,female
Eric-020_mono,gyidie,e,open,0.12399,315,2141,2541,male
Mary-018_mono,gyidie,e,open,0.139403,387,2139,2424,female
Eric-020_mono,bue,e,open,0.1275,311,2137,2490,male
FELIX-02_mono,?du,ae,closed,0.10678,602,1948,2319,male
Cynthia-013_mono,da,a,open,0.13475,920,1706,2201,female
Naura-017_mono,obi,i,open,0.1531,317,2651,3824,female
OKRAH-08,?du,ae,closed,0.07824,503,1740,2605,male
Mary-018_mono,?di,i,open,0.13023,283,2694,2911,female
Attah-021_mono,?du,ae,closed,0.08965,518,1543,2215,male
Naura-017_mono,?di,ae,closed,0.13597,595,2090,2708,female
FELIX-02_mono,bue,e,open,0.18844,337,2132,2607,male
Ama-023_mono,?du,u,open,0.2248,381,1353,2410,female
Naura-017_mono,t?,4,open,0.13267,457,1112,2446,female
Vincent-019_mono,da,a,open,0.1349,758,1717,2661,male
Moses-012_mono,da,a,open,0.22247,756,1777,2785,male
Eunice-008_mono,k?,1,open,0.12963,553,979,2071,female
Eunice-008_mono,ko,o,open,0.14641,536,1023,2230,female
Naura-017_mono,ebi,e,closed,0.10454,383,2132,3034,female
OKRAH-07_mono,gyidie,e,open,0.152598,364,2113,2795,male
Attah-021_mono,gyidie,e,open,0.13788,338,2102,2927,male
Precious-015_mono,?di,ae,closed,0.07679,610,2093,2991,female
Osei-016_mono,ad??,a,closed,0.12066,786,1780,2624,male
Eunice-008_mono,?di,i,open,0.16451,396,2708,3177,female
Yaw-007_mono,?du,ae,closed,0.11214,523,1579,2579,male
Naura-017_mono,ebi,i,open,0.16302,292,2708,3616,female
Eric-020_mono,?du,ae,closed,0.09294,525,1521,2531,male
Eunice-008_mono,?di,ae,closed,0.12035,618,2069,2776,female
Mary-018_mono,pue,e,open,0.1962,422,2101,3303,female
Mary-018_mono,?du,u,open,0.12786,275,1353,2686,female
